"COU","Country","WASTE","Waste category","WST_OPER","Waste management operations","UNIT","Unit of measure","YEA","Year","Value","Flag Codes","Flags"
"AUS","Australia","EE_SE","Small equipment","GEN","Waste generated","KG_HAB","Kilograms per capita","2020","2020",6.665,,
"AUS","Australia","EE_SE","Small equipment","GEN","Waste generated","KG_HAB","Kilograms per capita","2021","2021",6.69,,
"AUS","Australia","EE_SE","Small equipment","MKT","Products put on the market","KG_HAB","Kilograms per capita","2000","2000",5.346,,
"AUS","Australia","EE_SE","Small equipment","MKT","Products put on the market","KG_HAB","Kilograms per capita","2005","2005",8.15,,
"AUS","Australia","EE_SE","Small equipment","MKT","Products put on the market","KG_HAB","Kilograms per capita","2010","2010",8.961,,
"AUS","Australia","EE_SE","Small equipment","MKT","Products put on the market","KG_HAB","Kilograms per capita","2011","2011",9.172,,
"AUS","Australia","EE_SE","Small equipment","MKT","Products put on the market","KG_HAB","Kilograms per capita","2012","2012",9.111,,
"AUS","Australia","EE_SE","Small equipment","MKT","Products put on the market","KG_HAB","Kilograms per capita","2013","2013",9.209,,
"AUS","Australia","EE_SE","Small equipment","MKT","Products put on the market","KG_HAB","Kilograms per capita","2014","2014",9.072,,
"AUS","Australia","EE_SE","Small equipment","MKT","Products put on the market","KG_HAB","Kilograms per capita","2015","2015",8.744,,
"AUS","Australia","EE_SE","Small equipment","MKT","Products put on the market","KG_HAB","Kilograms per capita","2016","2016",8.343,,
"AUS","Australia","EE_SE","Small equipment","MKT","Products put on the market","KG_HAB","Kilograms per capita","2017","2017",6.702,,
"AUS","Australia","EE_SE","Small equipment","MKT","Products put on the market","KG_HAB","Kilograms per capita","2018","2018",5.828,,
"AUS","Australia","EE_SE","Small equipment","MKT","Products put on the market","KG_HAB","Kilograms per capita","2019","2019",6.103,,
"AUS","Australia","EE_SE","Small equipment","MKT","Products put on the market","KG_HAB","Kilograms per capita","2020","2020",6.042,,
"AUS","Australia","EE_SE","Small equipment","COL","Waste collected","KG_HAB","Kilograms per capita","2019","2019",1.068,,
"AUS","Australia","EE_SITTE","Small IT and telecommunication equipment","GEN","Waste generated","KG_HAB","Kilograms per capita","2000","2000",0.432,,
"AUS","Australia","EE_SITTE","Small IT and telecommunication equipment","GEN","Waste generated","KG_HAB","Kilograms per capita","2005","2005",0.973,,
"AUS","Australia","EE_SITTE","Small IT and telecommunication equipment","GEN","Waste generated","KG_HAB","Kilograms per capita","2010","2010",1.433,,
"AUS","Australia","EE_SITTE","Small IT and telecommunication equipment","GEN","Waste generated","KG_HAB","Kilograms per capita","2011","2011",1.53,,
"AUS","Australia","EE_SITTE","Small IT and telecommunication equipment","GEN","Waste generated","KG_HAB","Kilograms per capita","2012","2012",1.619,,
"AUS","Australia","EE_SITTE","Small IT and telecommunication equipment","GEN","Waste generated","KG_HAB","Kilograms per capita","2013","2013",1.688,,
"AUS","Australia","EE_SITTE","Small IT and telecommunication equipment","GEN","Waste generated","KG_HAB","Kilograms per capita","2014","2014",1.734,,
"AUS","Australia","EE_SITTE","Small IT and telecommunication equipment","GEN","Waste generated","KG_HAB","Kilograms per capita","2015","2015",1.771,,
"AUS","Australia","EE_SITTE","Small IT and telecommunication equipment","GEN","Waste generated","KG_HAB","Kilograms per capita","2016","2016",1.791,,
"AUS","Australia","EE_SITTE","Small IT and telecommunication equipment","GEN","Waste generated","KG_HAB","Kilograms per capita","2017","2017",1.784,,
"AUS","Australia","EE_SITTE","Small IT and telecommunication equipment","GEN","Waste generated","KG_HAB","Kilograms per capita","2018","2018",1.791,,
"AUS","Australia","EE_SITTE","Small IT and telecommunication equipment","GEN","Waste generated","KG_HAB","Kilograms per capita","2019","2019",1.781,,
"AUS","Australia","EE_SITTE","Small IT and telecommunication equipment","GEN","Waste generated","KG_HAB","Kilograms per capita","2020","2020",1.758,,
"AUS","Australia","EE_SITTE","Small IT and telecommunication equipment","GEN","Waste generated","KG_HAB","Kilograms per capita","2021","2021",1.747,,
"AUS","Australia","EE_SITTE","Small IT and telecommunication equipment","MKT","Products put on the market","KG_HAB","Kilograms per capita","2000","2000",1.825,,
"AUS","Australia","EE_SITTE","Small IT and telecommunication equipment","MKT","Products put on the market","KG_HAB","Kilograms per capita","2005","2005",1.902,,
"AUS","Australia","EE_SITTE","Small IT and telecommunication equipment","MKT","Products put on the market","KG_HAB","Kilograms per capita","2010","2010",2.575,,
"AUS","Australia","EE_SITTE","Small IT and telecommunication equipment","MKT","Products put on the market","KG_HAB","Kilograms per capita","2011","2011",2.58,,
"AUS","Australia","EE_SITTE","Small IT and telecommunication equipment","MKT","Products put on the market","KG_HAB","Kilograms per capita","2012","2012",2.329,,
"AUS","Australia","EE_SITTE","Small IT and telecommunication equipment","MKT","Products put on the market","KG_HAB","Kilograms per capita","2013","2013",2.01,,
"AUS","Australia","EE_SITTE","Small IT and telecommunication equipment","MKT","Products put on the market","KG_HAB","Kilograms per capita","2014","2014",2.019,,
"AUS","Australia","EE_SITTE","Small IT and telecommunication equipment","MKT","Products put on the market","KG_HAB","Kilograms per capita","2015","2015",2.01,,
"AUS","Australia","EE_SITTE","Small IT and telecommunication equipment","MKT","Products put on the market","KG_HAB","Kilograms per capita","2016","2016",1.722,,
"AUS","Australia","EE_SITTE","Small IT and telecommunication equipment","MKT","Products put on the market","KG_HAB","Kilograms per capita","2017","2017",1.963,,
"AUS","Australia","EE_SITTE","Small IT and telecommunication equipment","MKT","Products put on the market","KG_HAB","Kilograms per capita","2018","2018",1.873,,
"AUS","Australia","EE_SITTE","Small IT and telecommunication equipment","MKT","Products put on the market","KG_HAB","Kilograms per capita","2019","2019",1.603,,
"AUS","Australia","EE_SITTE","Small IT and telecommunication equipment","MKT","Products put on the market","KG_HAB","Kilograms per capita","2020","2020",1.555,,
"AUS","Australia","EE_SITTE","Small IT and telecommunication equipment","COL","Waste collected","KG_HAB","Kilograms per capita","2019","2019",0.749,,
"AUS","Australia","EE6","Total waste","GEN","Waste generated","TH_T","Thousand tonnes","2000","2000",85.944,,
"AUS","Australia","EE6","Total waste","GEN","Waste generated","TH_T","Thousand tonnes","2005","2005",169.992,,
"AUS","Australia","EE6","Total waste","GEN","Waste generated","TH_T","Thousand tonnes","2010","2010",297.193,,
"AUS","Australia","EE6","Total waste","GEN","Waste generated","TH_T","Thousand tonnes","2011","2011",326.811,,
"AUS","Australia","EE6","Total waste","GEN","Waste generated","TH_T","Thousand tonnes","2012","2012",356.382,,
"AUS","Australia","EE6","Total waste","GEN","Waste generated","TH_T","Thousand tonnes","2013","2013",384.521,,
"AUS","Australia","EE6","Total waste","GEN","Waste generated","TH_T","Thousand tonnes","2014","2014",410.839,,
"AUS","Australia","EE6","Total waste","GEN","Waste generated","TH_T","Thousand tonnes","2015","2015",435.037,,
"AUS","Australia","EE6","Total waste","GEN","Waste generated","TH_T","Thousand tonnes","2016","2016",457.412,,
"AUS","Australia","EE6","Total waste","GEN","Waste generated","TH_T","Thousand tonnes","2017","2017",477.499,,
"AUS","Australia","EE6","Total waste","GEN","Waste generated","TH_T","Thousand tonnes","2018","2018",495.631,,
"AUS","Australia","EE6","Total waste","GEN","Waste generated","TH_T","Thousand tonnes","2019","2019",401.599,,
"AUS","Australia","EE6","Total waste","GEN","Waste generated","TH_T","Thousand tonnes","2020","2020",525.013,,
"AUS","Australia","EE6","Total waste","GEN","Waste generated","TH_T","Thousand tonnes","2021","2021",577,,
"AUS","Australia","EE6","Total waste","MKT","Products put on the market","TH_T","Thousand tonnes","2000","2000",311.099,,
"AUS","Australia","EE6","Total waste","MKT","Products put on the market","TH_T","Thousand tonnes","2005","2005",496.169,,
"AUS","Australia","EE6","Total waste","MKT","Products put on the market","TH_T","Thousand tonnes","2010","2010",686.056,,
"AUS","Australia","EE6","Total waste","MKT","Products put on the market","TH_T","Thousand tonnes","2011","2011",726.462,,
"AUS","Australia","EE6","Total waste","MKT","Products put on the market","TH_T","Thousand tonnes","2012","2012",729.175,,
"AUS","Australia","EE6","Total waste","MKT","Products put on the market","TH_T","Thousand tonnes","2013","2013",710.852,,
"AUS","Australia","EE6","Total waste","MKT","Products put on the market","TH_T","Thousand tonnes","2014","2014",717.915,,
"AUS","Australia","EE6","Total waste","MKT","Products put on the market","TH_T","Thousand tonnes","2015","2015",757.424,,
"AUS","Australia","EE6","Total waste","MKT","Products put on the market","TH_T","Thousand tonnes","2016","2016",739.694,,
"AUS","Australia","EE6","Total waste","MKT","Products put on the market","TH_T","Thousand tonnes","2017","2017",740.545,,
"AUS","Australia","EE6","Total waste","MKT","Products put on the market","TH_T","Thousand tonnes","2018","2018",859.001,,
"AUS","Australia","EE6","Total waste","MKT","Products put on the market","TH_T","Thousand tonnes","2019","2019",937.889,,
"AUS","Australia","EE6","Total waste","MKT","Products put on the market","TH_T","Thousand tonnes","2020","2020",962.055,,
"AUS","Australia","EE6","Total waste","COL","Waste collected","TH_T","Thousand tonnes","2019","2019",277.429,,
"AUS","Australia","EE_TEE","Temperature exchange equipment","GEN","Waste generated","TH_T","Thousand tonnes","2000","2000",7.956,,
"AUS","Australia","EE_TEE","Temperature exchange equipment","GEN","Waste generated","TH_T","Thousand tonnes","2005","2005",22.681,,
"AUS","Australia","EE_TEE","Temperature exchange equipment","GEN","Waste generated","TH_T","Thousand tonnes","2010","2010",48.791,,
"AUS","Australia","EE_TEE","Temperature exchange equipment","GEN","Waste generated","TH_T","Thousand tonnes","2011","2011",54.937,,
